original_text,annotation_id,from_entity,to_entity,from_entity_name,from_entity_start,from_entity_end,from_entity_label,to_entity_start,to_entity_end,to_entity_name,to_entity_label,relation_type
"At present, the main clinical treatments for atherosclerosis are lipid-lowering drugs, antiplatelet drugs and anti-inflammatory drugs, but these treatments may not have ideal effects on some patients. Therefore, finding new drug targets and developing methods for the treatment of atherosclerosis are of great significance to reduce the morbidity and mortality of CVDs, while targeted therapy for gut microbiota and regulation of gut microbiota and their metabolites, may be a good choice.",18885915.0,LXMYCQyld6,3253,antiplatelet drugs,87.0,105.0,Chemical,45.0,60.0,atherosclerosis,Disease,treats
"The mechanism by which BCAAs induce insulin resistance is still not fully understood. The rise of BCAA levels is found to regulate glycolipid metabolism, cause insulin resistance, and increase the risk of T2D. Other animal experiments have shown that elevated BCAAs are transferred to skeletal muscle, and are interfered with lipid metabolism, which causes the accumulation of lipid metabolites and ultimately leads to skeletal muscle insulin resistance. Additionally, BCAAs are the key regulatory factor of mTORC1. It activates mTORC1 and ribosomal protein S6 kinase beta-1 (S6K1) by inducing the phosphorylation of IRS1, blocking the insulin signaling pathway, and eventually causing insulin resistance. However, 2 other studies have shown that BCAAs may exert their functions without mTORC1. One study reported that the metabolites of BCAAs, 3-hydroxy isobutyrate, could cause insulin resistance by promoting skeletal muscle sprouting. Another study reported that a diet rich in BCAAs can cause overeating, obesity, and shortened lifespan, which was not related to the mTOR signaling pathway in the liver but is mainly due to hyperphagia.",18449544.0,2344,_g2eGz4M6q,BCAA,98.0,102.0,Chemical,160.0,178.0,insulin resistance,Disease,causes
"Several studies have suggested that different BAs profiles are closely related to obesity. It was reported that 12-hydroxylated (12-OH) BAs such as CA and DCA increase obesity susceptibility, while non-12-OH BAs such as CDCA, UDCA and LCA reduce obesity susceptibility. Mice with higher levels of non-12-OH BAs gained weight slowly and had less metabolic disturbance, while the rapidly gaining weight mice had significantly lower levels of non-12-OH BAs such as UDCA. UDCA intake significantly reduced weight gain and metabolic disturbances induced by high-fat diet. Another study also provided evidence that a high-fat diet caused obesity by increasing the levels of 12-OH BAs. In a rat model, high-fat diet caused increases in the total BAs, DCA and taurodeoxycholic acid (TDCA) in plasma and liver tissues, and increases in DCA in intestinal tissues and feces. Therefore, changing the proportion of 12-OH BAs and non-12-OH BAs may have an impact on the risk of obesity.",18108132.0,eecNE0wt81,zzmNlOaXA_,DCA,155.0,158.0,Chemical,112.0,139.0,12-hydroxylated (12-OH) BAs,Chemical,part_of
"Besides, the gut microbiota can also produce H2S to participate in oxidation regulation, inflammation and other processes. It has been found that colon-derived H2S can lower blood pressure. RAS, in particular, is an essential mechanism in the pathogenesis of hypertension. H2S has been reported to inhibit the activity of renin by reducing the synthesis and release of renin, which has potential therapeutic value for renovascular hypertension. Moreover, H2S may reduce blood pressure by dilating peripheral blood vessels and reducing heart rate.",18549065.0,2893,2899,H2S,273.0,276.0,Chemical,369.0,374.0,renin,Species,stop
"It has been proven that risk factors for civilization diseases such as stroke and cardiovascular diseases are also associated with the diversity of the intestinal flora. The abovementioned factors comprise atherosclerosis and hypertension. Moreover, the dysregulation of microbiota was observed in patients with stroke together with increased plasma and urinary concentrations of the proatherosclerotic gut bacterial metabolite trimethylamine N-oxide (TMAO), also co-responsible for the development of cardiovascular diseases (atherosclerotic coronary artery disease among others), AD, and gestational diabetes. TMAO is produced from dietary phosphatidylcholine by the intestinal microbiota. Preclinical models of cerebral ischemia indicate the coexistence of pathological microflora which negatively affect intestinal permeability and motility. Some reported experimental results indicate the relationship of intestinal microbiota with neuroinflammatory processes by modulating intestinal T-cell trafficking to the CNS. Animal models of cerebral ischemia-reperfusion injury clearly pointed out the beneficial, neuroprotective effect of the administration of a probiotic containing the Clostridium butyricum bacterial strain on the prognosis of animals after a stroke.",16214272.0,1656,k_yjzQdqL-,stroke,71.0,77.0,Disease,152.0,168.0,intestinal flora,Species,Associated_with
"Multiple metabolites including SCFAs, BAs, and BCAAs, have been postulated to link the potential association between altered gut microbiota and T2D. Specific species such as Faecalibacterium prausnitzii have been observed to produce anti-inflammatory cytokines and chemokines, thus alleviating inflammation and increasing insulin sensitivity. And some intestinal bacteria from other genera have been reported to produce pro-inflammatory cytokines, which may increase the development of insulin resistance. In short, the dysbiosis of gut microbiota would lead to the damaged function of beta-cell and islet chronic inflammatory response by changing the component of SCFAs, BCAAs, and BAs, thereby affecting glucose and fat metabolism, eventually leading to the occurrence of diabetes.",18119457.0,VYIzVzIF4q,6FoUxpPzk9,altered gut microbiota,117.0,139.0,Disease,144.0,147.0,T2D,Disease,Associated_with
"Mechanically, current studies suggest that SCFAs may exert their functions through acting as energy substrates and maintaining metabolic integration by a variety of different downstream regulatory mechanisms, such as G-protein-coupled receptors (GPRs) with GPR41/Recombinant Free Fatty Acid Receptor (FFAR3), GPR43/FFAR2, GPR109A, Olfactory Receptors 78 (Olfr78) in endocrine cells of the gut wall, as well as histone deacetylases (HDACs) (Fig. 2). GPR41 regulates host energy acquisition and promotes the catabolism of glucose and lipids. The decreased SCFAs may cause less activated GPR41 and higher levels of energy uptake. In addition, it has also been reported that the lower production of SCFAs in gut microbiota would increase the host's capability of obtaining energy from the diet. SCFAs from bacterial fermentation promote the secretion of glucagon-like peptide 1 (GLP-1) and peptide YY (PYY) through GPR43 and GPR41 from intestinal L cells. GLP-1 increased pancreatic insulin secretion, and inhibited the production of glucagon. Deletion of GLP-1 abolished the beneficial effects of prebiotics on weight gain, glucose metabolism, and inflammatory pathway activation. Moreover, PYY increases satiety, reduces food intake, inhibits intestinal motility, and increases the intestinal transit rate.",18395273.0,704,695,GPR41,449.0,454.0,Gene,532.0,538.0,lipids,Chemical,increase
"Taken together, the etiology of hypertension is complex, the composition of gut microbiota is diverse, and the dysbiosis of gut microbiota will further affect their metabolites. Although the specific molecular mechanism between the metabolites and blood pressure is not completely clear, it is expected to enrich the existing treatment of hypertension by regulating gut microbiota.",18549459.0,2903,2905,hypertension,32.0,44.0,Disease,339.0,351.0,hypertension,Disease,None
"In addition to the clear relationship between gut microbiota and the occurrence of obesity, gut microbiota has also been associated with the development and prognosis in patients with diabetes. Diabetes are associated with a relative or absolute insufficiency of insulin, or insulin resistance, which results in metabolic disturbance of carbohydrates, lipids, and proteins. In China, the number of diabetic patients has reached 114 million, accounting for 1/3 of the total number of diabetic patients all around the world. Type 2 diabetes (T2D) accounts for more than 95% of the total diabetes population. Recently, researchers have pointed out that gut microbiota may play an important role in the occurrence and development of T2D. Thus, exploring the relationship between gut microbiota and T2D may provide new ideas for clinical research and treatment.",18118449.0,plJrdKcaiU,1753,insulin resistance,275.0,293.0,Disease,312.0,333.0,metabolic disturbance,Disease,causes
"The mechanism by which BCAAs induce insulin resistance is still not fully understood. The rise of BCAA levels is found to regulate glycolipid metabolism, cause insulin resistance, and increase the risk of T2D. Other animal experiments have shown that elevated BCAAs are transferred to skeletal muscle, and are interfered with lipid metabolism, which causes the accumulation of lipid metabolites and ultimately leads to skeletal muscle insulin resistance. Additionally, BCAAs are the key regulatory factor of mTORC1. It activates mTORC1 and ribosomal protein S6 kinase beta-1 (S6K1) by inducing the phosphorylation of IRS1, blocking the insulin signaling pathway, and eventually causing insulin resistance. However, 2 other studies have shown that BCAAs may exert their functions without mTORC1. One study reported that the metabolites of BCAAs, 3-hydroxy isobutyrate, could cause insulin resistance by promoting skeletal muscle sprouting. Another study reported that a diet rich in BCAAs can cause overeating, obesity, and shortened lifespan, which was not related to the mTOR signaling pathway in the liver but is mainly due to hyperphagia.",18449544.0,2343,XbAiwkwqIk,BCAAs,23.0,28.0,Chemical,36.0,54.0,insulin resistance,Disease,causes
"During PD development, microbiota changes can be accompanied by reduced concentrations of branched-chain amino acids (BCAAs) and aromatic amino-acids in comparison with the healthy control group. It has been demonstrated that the alteration of the metabolites occurred, especially during disease progression. Experimental results indicate the correlation between PD and mitochondrial dysfunction. Additionally, the lower levels of BCAAs and aromatic amino acids have been observed in stool samples during this period in comparison with the healthy control group, indicating a dysbiosis state in the gut microbiota. Moreover, the PD-disrupted gut microbiome may negatively influence the level of methionine in human plasma.",16207438.0,thlF35i6Kh,1029,microbiota,23.0,33.0,Species,129.0,149.0,aromatic amino-acids,Chemical,Associated_with
"In recent years, many researches demonstrated that gut microbiota could promote the development of cardiovascular risk factors and then further promotes the development of CVDs. After all, one of the mechanisms by which gut microbiota dysbiosis is associated with CVDs is the impaired intestinal mucosal barrier function and increased intestinal permeability under the interaction between LPS and host receptors.",18450225.0,Zu3JvFgTc9,PcNA3TXlAc,gut microbiota,220.0,234.0,Species,389.0,392.0,LPS,Chemical,None
"It is well known that the balance of cholesterol is closely related to human health, and disorder of cholesterol balance leads to cardiovascular and metabolic diseases. For example, low-density lipoprotein (LDL) cholesterol is ingested by macrophages to form foam cells and eventually leads to atherosclerosis, while high-density lipoprotein (HDL) can promote reverse cholesterol transport and play a cardiovascular protective role. In recent years, gut microbiota is reported to be associated with levels of circulating triglycerides and HDL cholesterol.",17066993.0,783,791,cholesterol,37.0,48.0,Chemical,71.0,76.0,human,Species,Associated_with
Reduced Incidence of Prevotella and Other Fermenters in Intestinal Microflora of Autistic Children,18115209.0,2517,UsVvYVVw2T,Prevotella,21.0,31.0,Species,81.0,89.0,Autistic,Disease,None
"Scientific evidence indicates that the metabolic status of microbiota exerts a more important role than the equilibrium between bacterial species. Microbial metabolites can act as positive modulators of the gut-brain-axis constituents, boosting the immune cells and exerting a positive/protective effect on neurodegenerative disease progression. On the other hand, disrupted equilibrium between microbial species often leads to specific switches in the microbial metabolome, which may be harmful and associated with neurodegenerative disease progression. For example, dysregulation of Gram-negative bacteria in the gastrointestinal area leads to the production of harmful metabolites (i.e., endo- and exotoxins, saccharides, and amyloids). Exotoxins, such as LPS, which have the ability to activate the production of pro-inflammatory cytokines, exert negative effects. LPS belongs to glycolipid molecules, mostly produced by Gram-negative bacterial strains. These molecules participate in the integrity maintenance of the bacterial outer-membrane permeability barrier, playing an important role in host-pathogen interplay. The overproduction of bacterial LPS can cause the activation of the macrophage-monocyte nod-like receptor P3 inflammasome, therefore stimulating the production of cytokines with pro-inflammatory activity, such as IL-18 or IL-1beta. LPS can be translocated and intensify neuroinflammatory diseases such as AD. Additionally, it was demonstrated that IL-1beta can decrease the phagocytic function of microglial cells, stimulating the hyperphosphorylation of tau protein, and causing reduced synaptic plasticity and cognitive deterioration. These cytokines can induce microbiota dysregulation, increasing gut permeability and influencing gut bacteria diversity.",16508033.0,2e5h_Ceng3,MM63vCtNE0,"LPS,",759.0,763.0,Chemical,817.0,843.0,pro-inflammatory cytokines,Cellline,increase
"Dysbiosis in the Gut Microbiota of Patients with Multiple Sclerosis, with a Striking Depletion of Species Belonging to Clostridia XIVa and IV Clusters",17447561.0,2399,93wH8uKuMO,Multiple Sclerosis,49.0,67.0,Disease,85.0,94.0,Depletion,Disease,None
"The PD microbiome has a diminished variety of bacterial taxonomic groups, especially the ones associated with anti-inflammatory and neuroprotective effects and the increase of phyla, which has toxic effects. Predominantly, the reduction was observed in the Lachnospiraceae family, including Butyrivibrio, Pseudobutyrivibrio, Coprococcus, Blautia and SCFAs-producing Prevotellaceae. The increased amount of Enterobacteriaceae is linked to the severity of postural instability and walking difficulties. Moreover, the PD microbiome is characterised by increased Akkermansia and Bifidobacterium species and decreased amount of Faecalibacterium and Lachnospiraceae. The overgrowth of Akkermansia spp. in PD patients may be strain-specific and can be related to immune-response alterations, decreased mucus thicknesses, and increased constipation. Faecalibacterium family is a crucial player producing SCFAs and anti-inflammatory metabolites, maintaining gut health. Faecalibacterium balance disturbances can lead to impaired gut-barrier function, increasing the risk of infection with enteric pathogens and boosting alpha-synuclein formation. Similarly, the Lachnospiraceae family can produce butyrate, important for the proper function of the gut epithelium. Decreased Lachnospiraceae quantity might aggravate gut inflammation, stimulate toxin production, and damage the integrity of the gut epithelial barrier. PD patients' intestinal microflora were characterised by a diminished abundance of Lachnospiraceae, which was positively correlated with PD progress, cognitive decline, and impaired motor functions. These microbiome's compositional changes correlate well with some metabolic switches. PD microbiota show reduced SCFAs production, decreased carbohydrate fermentation, and augmented proteolytic fermentation. Chen et al. demonstrated that the SCFA level was relevant to microbiota composition changes and the clinical severity of PD. The levels of SCFAs acetate, butyrate, and propionate in fecal samples of PD patients were significantly reduced, contrary to their elevated concentration in plasma. Rodent models of PD disease have shown a positive effect of SCFAs on behavior and PD symptoms. Butyrate, as a histone deacetylase inhibitor, exerts neuroprotective activity, reducing dopaminergic cell death, and motor impairment, and improving cognitive functions. Taken together, SCFAs play an important role in protection from PD disease and could be proposed as representative gut-oriented indicators for diversifying individuals with PD and placing disease progression.",16553034.0,1000,984,patients,702.0,710.0,Species,699.0,701.0,PD,Disease,experiences
"In the past decade, single dietary factors which can positively manipulate the gut microbiota-brain axis through microbiome modulation have gained significant attention. One of these factors is probiotic bacteria and/or prebiotics. Probiotics are defined as microbial organisms with a beneficial role in the host's health and homeostasis, which help to preserve digestive, metabolic, immune, and neuroendocrine functions. Naturally probiotic bacteria can be found in fermented food. Experimental results revealed that the administration of probiotics alone or in combination with prebiotics (fructooligosaccharides or galactooligosaccharides) improved the gastrointestinal barrier, which is the first line of ""defence"" from harmful factors occurring in food, and the microbiome. Probiotics and prebiotics are well-documented ""problem-solution"" for gastrointestinal diseases. Moreover, probiotics can reduce CNS inflammatory processes and activation of microglia, demonstrating promising potential for use in neurodegenerative diseases as ingestible ""psychobiotics"". Many studies indicate that the ingestion of probiotics can serve as a microbiological strategy against neurodegenerative diseases such as AD; however, the exact mechanism is under investigation. Experiments performed on mice underline the hypothesis that mechanisms related to neuroprotective effects of Bifidobacterium breve administration may be connected with neuroinflammation and cognition pathways, probably through the production of the brain-derived neurotrophic factor (BDNF) neurotransmitter and the regulation of the gut microbial composition. Clinical results of a randomized double-blind controlled trial revealed that 3-month exposure to Lactobacillus spp. And a Bifidobacterium bifidum ""cocktail"" enhanced cognitive functions and memory, as examined in a mini-mental state test. It was demonstrated that Bifidobacterium breve exerts positive and unique activity in AD patients, improving cognitive functions and reducing neuroinflammation. Controlled, double-blind, randomized clinical trials with a 12-week multispecies probiotic treatment (comprised of Lactobacillus acidophilus, Lactobacillus casei, Bifidobacterium bifidum, and Lactobacillus fermentum) caused a significant decrease in malondialdehyde in the probiotic-treated group.",16217142.0,2catLl3PQB,1769,Probiotics,779.0,789.0,Species,848.0,873.0,gastrointestinal diseases,Disease,treats
"Nevertheless, the role of FXR in diabetes is controversial. Although study has reported that upregulating FXR in diabetic mice can significantly improve hypercholesterolemia, other study found that inhibition of intestinal FXR can reduce hepatic gluconeogenesis, promote the secretion of GLP-1, and reduce body weight. Therefore, whether upregulating or inhibiting FXR signaling is an innovative approach in the control of blood glucose in patients with T2D needs further research.",18342316.0,2155,2151,mice,122.0,126.0,Species,113.0,121.0,diabetic,Disease,experiences
"Previous results have indicated that the metabolic regulation of BAs may be associated with T2D but the specific changes in BAs and the related mechanisms remain to be studied. It is also unclear how the different types of BAs change in patients with T2D. A study also suggested that patients with T2D had no change in plasma total BAs, but had an increase in DCA and a decrease in CDCA in plasma. Another study found that the plasma total BA concentration in patients with T2D was not significantly different from that of healthy people; however, the concentration of DCA in the plasma of patients with T2D was significantly higher than that of healthy controls. The mechanism may be that FXR and TGR5 are inhibited during insulin resistance, and the most effective natural ligands of the receptors, DCA and CA, are compensatorily increased. Besides, circulating BAs levels including DCA, TCA, TDCA, and glycodeoxycholic acid, are positively associated with the risk of T2D, while taurohyodeoxycholic acid is negatively associated with diabetes. This may be due to the fact that hydrophobic BAs isoforms (such as DCA) have been shown to be involved in inflammation and endoplasmic reticulum stress with glucose dysregulation, and hydrophilic BAs isoforms (such as tauroursodeoxycholic acid) have been shown to prevent inflammation and enhance insulin sensitivity.",18340523.0,2032,XHwnfrVaWI,glycodeoxycholic acid,905.0,926.0,Chemical,971.0,974.0,T2D,Disease,Associated_with
"Aromatic amino acids including tyrosine, tryptophan, and phenylalanine are metabolized into indole and phenols by certain intestinal anaerobic bacteria, such as Bacteroidetes, Lactobacillus, Bifidobacterium, Clostridium, and Peptostreptococcus. Tryptophan is decomposed into indole, indoleacetic acid, indole-3-lactic acid, 3-methylindole (skatole) and other indole compounds under the action of tryptophanase. Tryptophanase is the key enzyme that generates indole. The activity of the enzyme is easily induced by the substrate tryptophan, so when the amount of tryptophan changes in the colonic environment, the content of indole will fluctuate greatly. Of note, the metabolic products of aromatic amino acids generated by gut microbiota have a great impact on the pathology of cardiometabolic diseases. For example, indole propionic acid is associated with insulin sensitivity and appears to reduce the risk of diabetes. Moreover, the gut microbiota metabolizes dietary tryptophan to indoxyl, which further generates indoxyl sulfate through sulfonation. Excessive accumulation of indoxyl sulfate causes cardiomyocyte damage and increases thrombus formation. Another phenol compound, 4-methylphenol, can inhibit the differentiation of 3T3-L1 preadipocytes into mature adipocytes, induce apoptosis and reduce glucose uptake. In addition, benzoic acid is an aromatic carboxylic acid synthesized by colonic microorganisms by metabolizing dietary aromatic compounds. Plasma benzoic acid levels were found to be elevated in the rat model of polygenic diabetes.",17445219.0,1052,LvlRh7J4OL,tryptophan,562.0,572.0,Chemical,624.0,630.0,indole,Chemical,affects
"Patients with obesity had increased BCAAs that contribute to the development of obesity-associated insulin resistance. In fact, it is controversial about the mechanism of BCAAs-related insulin resistance. Insulin resistance induced by high-fat and supplemental BCAAs feeding was accompanied by chronic phosphorylation of mammalian target of rapamycin (mTOR), c-Jun N-terminal kinases (JNK), and insulin receptor substrate (IRS)1 Ser307. BCAAs inhibit white fat browning and promote obesity-related metabolic disorders. Some studies have suggested that the role of BCAAs is related to mammalian target of rapamycin complex 1 (mTORC1). And BCAAs are potent mTORC1 agonists, and a lifelong BCAAs-restricted diet downregulates mTORC1 signaling, reduces frailty, and prolongs lifespan in wild-type male mice. Nevertheless, another study found that the metabolic effects of a low BCAAs diet did not require inhibiting the expression and activity of hepatic mTORC1.",18117759.0,Kx5Fz7dntI,pQcnPkqTat,hepatic,943.0,950.0,Cellline,951.0,957.0,mTORC1,Species,Location_of
"Besides the propagation of an inflammatory state, microbial endotoxins are probably involved in AD's inflammatory amyloidosis. Metagenomics analysis showed that patients suffering from cognitive dysfunctions related to amyloidosis demonstrated elevated amounts of pro-inflammatory cytokines and neurotoxic compounds. In these patients, increased inflammation was probably related to Eubacterium deficiency, and an overabundance of gram-negative Escherichia and Shigella species, which are known amyloid producers. They manufacture ""curli"" amyloid fibers, accumulated extracellularly through an elaborated system. Further studies revealed that the overproduction of Abeta plaques is correlated with excessive growth of Escherichia coli, Bacillus subtilis, Klebsiella pneumoniae, Mycobacterium and Salmonella, Staphylococcus aureus, and Streptococcus spp.. Galloway et al. found Abeta in small intestine epithelial cells, suggesting that gut-derived amyloids could be absorbed and finally reach systemic circulation, where they can act as pro-inflammatory factors and trigger fibrillogenesis. Additionally, it was shown that amyloids generated by microbes can influence IL-17A and IL-22 proinflammatory cytokines production, considered as a key players in NFkappaB signaling, both associated with AD and capable of crossing the BBB and GI tract.",16171393.0,709,Dn8dTuLZnj,Escherichia,445.0,456.0,Species,495.0,502.0,amyloid,Chemical,start
"The analysis of the intestinal microbiome of adolescent and adult ADHD patients (Attention Deficit Hyperactivity Disorder) indicated changes and imbalances in the gut microbiota followed by elevated levels of Bifidobacterium and Eggerthella genera related to boosted dopamine precursor formation and connected with ADHD development. Some reports indicated the implication of the microbiome in the regulation of brain dopamine levels. The Bifidobacterium genus plays an important role in dopamine precursor production (cyclohexadienyl dehydratase) in ADHD patients. Jiang et al. reported a reduction of Faecalibacterium spp. in paediatric patients diagnosed with ADHD and they suggested Faecalibacterium as a new marker of ADHD. Faecalibacterium depletion was followed by increased cytokine levels and inflammation. Interestingly, three bacterial species (Bacteroides uniformis, Bacteroides ovatus, and Sutterella stercoricanis) were identified as potential biomarkers of ADHD. Tengeler et al. reported increased anxiety in a GF mice model with human microbiota transplanted from ADHD-suffering individuals. Another clinical trial performed on infants indicated the beneficial and protective effect of Lactobacillus rhamnosus GG administration in the prevention of ADHD development. Moreover, L. rhamnosus probiotic administration reduced the quantity of the following proinflammatory factors: IL-12 p70, IL-10, TNF-alpha, and IL-6.",16213267.0,1607,1597,patients,71.0,79.0,Species,81.0,121.0,Attention Deficit Hyperactivity Disorder,Disease,experiences
"In the past decade, single dietary factors which can positively manipulate the gut microbiota-brain axis through microbiome modulation have gained significant attention. One of these factors is probiotic bacteria and/or prebiotics. Probiotics are defined as microbial organisms with a beneficial role in the host's health and homeostasis, which help to preserve digestive, metabolic, immune, and neuroendocrine functions. Naturally probiotic bacteria can be found in fermented food. Experimental results revealed that the administration of probiotics alone or in combination with prebiotics (fructooligosaccharides or galactooligosaccharides) improved the gastrointestinal barrier, which is the first line of ""defence"" from harmful factors occurring in food, and the microbiome. Probiotics and prebiotics are well-documented ""problem-solution"" for gastrointestinal diseases. Moreover, probiotics can reduce CNS inflammatory processes and activation of microglia, demonstrating promising potential for use in neurodegenerative diseases as ingestible ""psychobiotics"". Many studies indicate that the ingestion of probiotics can serve as a microbiological strategy against neurodegenerative diseases such as AD; however, the exact mechanism is under investigation. Experiments performed on mice underline the hypothesis that mechanisms related to neuroprotective effects of Bifidobacterium breve administration may be connected with neuroinflammation and cognition pathways, probably through the production of the brain-derived neurotrophic factor (BDNF) neurotransmitter and the regulation of the gut microbial composition. Clinical results of a randomized double-blind controlled trial revealed that 3-month exposure to Lactobacillus spp. And a Bifidobacterium bifidum ""cocktail"" enhanced cognitive functions and memory, as examined in a mini-mental state test. It was demonstrated that Bifidobacterium breve exerts positive and unique activity in AD patients, improving cognitive functions and reducing neuroinflammation. Controlled, double-blind, randomized clinical trials with a 12-week multispecies probiotic treatment (comprised of Lactobacillus acidophilus, Lactobacillus casei, Bifidobacterium bifidum, and Lactobacillus fermentum) caused a significant decrease in malondialdehyde in the probiotic-treated group.",16217142.0,1779,YcSVtCYdcQ,Lactobacillus acidophilus,2136.0,2161.0,Species,2102.0,2111.0,probiotic,Species,part_of
"Multiple sclerosis is a chronic neurodegenerative autoimmune disorder, where the human immune system attacks the myelin sheath surrounding axon terminals, thereby triggering long-lasting inflammation within the CNS, abrasion formation, and demyelination of axons. Besides, afterward, it can cause autonomic and cognitive problems, motor, sensory, and visual flaws, and finally paralysis and disruption of the BBB. Various animal and human studies suggested the participation of gut microbiota in the development of MS. Animal studies on an experimental autoimmune encephalomyelitis mice model revealed a significant reduction in Lactobacillus phyla, contributing to an impairment of the mice's immune systems. In patients diagnosed with MS, a reduction in the variety and quantity of gut bacteria was detected, confirming a moderate dysbiosis state. Fecal samples obtained from MS patients indicated the reduced amount of bacteria belonging to 19 species, Bacteroidetes, Firmicutes, Faecalibacterium, Prevotella, and Anaerostipes species among them, and the increased quantity of Actinobacteria, Bifidobacterium, and Streptococcus genera.",16208798.0,1188,1189,Multiple sclerosis,0.0,18.0,Disease,32.0,69.0,neurodegenerative autoimmune disorder,Disease,Associated_with
"Dysbiosis of gut microbiota can further lead to changes in metabolites, which are complex in regulating blood pressure. So far, SCFAs and TMAO are the main research objects, and BAs and H2S have also been partially reported.",18546641.0,2752,GDksmfB045,H2S,186.0,189.0,Chemical,59.0,70.0,metabolites,Chemical,possible
"Several studies have suggested that different BAs profiles are closely related to obesity. It was reported that 12-hydroxylated (12-OH) BAs such as CA and DCA increase obesity susceptibility, while non-12-OH BAs such as CDCA, UDCA and LCA reduce obesity susceptibility. Mice with higher levels of non-12-OH BAs gained weight slowly and had less metabolic disturbance, while the rapidly gaining weight mice had significantly lower levels of non-12-OH BAs such as UDCA. UDCA intake significantly reduced weight gain and metabolic disturbances induced by high-fat diet. Another study also provided evidence that a high-fat diet caused obesity by increasing the levels of 12-OH BAs. In a rat model, high-fat diet caused increases in the total BAs, DCA and taurodeoxycholic acid (TDCA) in plasma and liver tissues, and increases in DCA in intestinal tissues and feces. Therefore, changing the proportion of 12-OH BAs and non-12-OH BAs may have an impact on the risk of obesity.",18108132.0,NtThhRMVo5,UeErTwQ17I,BAs,739.0,742.0,Chemical,857.0,862.0,feces,Chemical,None
"Patients suffering from PD have different bacterial flora compared with healthy controls. Microbiota have an impact on disease progression, which has been established in the fecal-transplantation experiments. Administration of the microbiota of patients with Parkinson's disease to mice showed the development of neuroinflammatory processes and motor deficits.",16206640.0,913,916,Parkinson's disease,259.0,278.0,Disease,245.0,253.0,patients,Species,affects
The dysbiosis of gut microbiota in atrial fibrillation,18549531.0,3640,9Wlpr0n94U,dysbiosis,4.0,13.0,Disease,17.0,31.0,gut microbiota,Species,affects
"In the past decade, single dietary factors which can positively manipulate the gut microbiota-brain axis through microbiome modulation have gained significant attention. One of these factors is probiotic bacteria and/or prebiotics. Probiotics are defined as microbial organisms with a beneficial role in the host's health and homeostasis, which help to preserve digestive, metabolic, immune, and neuroendocrine functions. Naturally probiotic bacteria can be found in fermented food. Experimental results revealed that the administration of probiotics alone or in combination with prebiotics (fructooligosaccharides or galactooligosaccharides) improved the gastrointestinal barrier, which is the first line of ""defence"" from harmful factors occurring in food, and the microbiome. Probiotics and prebiotics are well-documented ""problem-solution"" for gastrointestinal diseases. Moreover, probiotics can reduce CNS inflammatory processes and activation of microglia, demonstrating promising potential for use in neurodegenerative diseases as ingestible ""psychobiotics"". Many studies indicate that the ingestion of probiotics can serve as a microbiological strategy against neurodegenerative diseases such as AD; however, the exact mechanism is under investigation. Experiments performed on mice underline the hypothesis that mechanisms related to neuroprotective effects of Bifidobacterium breve administration may be connected with neuroinflammation and cognition pathways, probably through the production of the brain-derived neurotrophic factor (BDNF) neurotransmitter and the regulation of the gut microbial composition. Clinical results of a randomized double-blind controlled trial revealed that 3-month exposure to Lactobacillus spp. And a Bifidobacterium bifidum ""cocktail"" enhanced cognitive functions and memory, as examined in a mini-mental state test. It was demonstrated that Bifidobacterium breve exerts positive and unique activity in AD patients, improving cognitive functions and reducing neuroinflammation. Controlled, double-blind, randomized clinical trials with a 12-week multispecies probiotic treatment (comprised of Lactobacillus acidophilus, Lactobacillus casei, Bifidobacterium bifidum, and Lactobacillus fermentum) caused a significant decrease in malondialdehyde in the probiotic-treated group.",16217142.0,1775,RDtB2860Z7,Bifidobacterium breve,1370.0,1391.0,Species,1429.0,1446.0,neuroinflammation,Disease,Associated_with
"At present, it is generally believed that dysbiosis of the gut microbiota is an important factor affecting the integrity of the intestinal barrier. Previous studies showed that the dysbiosis of the gut microbiota could lead to the rapid proliferation of intestinal pathogenic bacteria, and the pro-inflammatory factors released by them seriously damaged the structure and function of the intestinal barrier, and it also promoted the occurrence and development of diseases in the digestive system as well as metabolic system. Furthermore, the dysbiosis of the gut microbiota triggers intestinal mucosal barrier damage, leading to inflammation and disordered nutrient metabolism. Overactivated inflammation caused by microbiota dysbiosis disrupts normal intestinal mucosal barrier function, and increases intestinal permeability to promote bacterial translocation, leading to endotoxemia and inflammation, thereby increasing the risk of CVDs.",16622110.0,bBtPgfvq3l,242,intestinal mucosal barrier damage,583.0,616.0,Disease,629.0,641.0,inflammation,Disease,causes
"The interplay between the microbiome, microbial metabolites, and neuropathological processes present during neurodegenerative diseases such as AD and PD. The microbiome and microbial metabolites could regulate brain homeostasis via four different ways: 1. direct absorption of specific metabolites which have the ability to cross the BBB; 2. interaction between peripheral immune systems, which interact with brain glia cells and astrocytes; 3. influence on gut hormones and the enteroendocrine system; 4. communication via the vagus nerve. These four routes may have an influence on pathological symptoms such as increased BBB leakage and neural inflammation, enhanced beta-amyloid and alpha-synuclein formation, and finally neuron loss and motor/cognitive deficits.",17293874.0,k-yy0nHOpB,jRi0-2VeRx,microbiome,26.0,36.0,Species,210.0,215.0,brain,Cellline,improve
